City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
474,Nakhon Phanom,TH,76.8,light rain,17.3333,104.4167,ป่ายางรีสอร์ท
475,Tombouctou,ML,79.77,few clouds,20.0,-3.0,
477,Banda Aceh,ID,77.29,overcast clouds,5.5577,95.3222,Sulthan Hotel International
484,Omboue,GA,76.96,overcast clouds,-1.5746,9.2618,Hotel Olako
485,Launceston,AU,66.15,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
488,Bandarbeyla,SO,75.25,scattered clouds,9.4942,50.8122,JABIR HOTEL
489,Victoria,HK,82.45,clear sky,22.2855,114.1577,Mini Hotel Central
491,Mineiros,BR,71.53,overcast clouds,-17.5694,-52.5511,Pilões Palace Hotel
492,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
493,Kalabo,ZM,76.5,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
494,Paraguacu,BR,67.59,scattered clouds,-21.5472,-45.7375,Matinada Palace Hotel
495,San Patricio,US,66.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
500,Qui Nhon,VN,78.13,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
504,Santa Vitoria,BR,82.71,broken clouds,-18.8386,-50.1214,Center Hotel
505,Port Augusta,AU,73.71,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
508,Machaneng,BW,73.69,light rain,-23.1862,27.4886,Matswelo Hotel
512,Aguada De Pasajeros,CU,71.74,overcast clouds,22.385,-80.8508,El Bosque
517,Ilhabela,BR,69.21,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
518,Ndele,CF,73.63,overcast clouds,8.4109,20.6473,
522,Karratha,AU,82.74,clear sky,-20.7377,116.8463,ibis Styles Karratha
523,Gabriel Leyva Solano,MX,84.02,overcast clouds,25.6667,-108.6417,Galeras Del Empaque Sacramento
525,Kasongo-Lunda,CD,68.9,overcast clouds,-6.4667,16.8167,
527,Coahuayana,MX,78.22,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
530,Tucurui,BR,75.04,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
532,Chake Chake,TZ,74.5,broken clouds,-5.2459,39.7666,Hotel Archipelago
535,Port-Gentil,GA,78.84,overcast clouds,-0.7193,8.7815,Fengshui Residence
537,Itapetinga,BR,70.45,overcast clouds,-15.2489,-40.2478,Hotel Del Rey
539,Muriae,BR,67.28,overcast clouds,-21.1306,-42.3664,Premium Plaza Hotel
540,Obo,CF,68.74,few clouds,5.3998,26.4869,
541,Campo Maior,BR,81.43,scattered clouds,-4.8278,-42.1686,Elite Hotel
546,Locri,IT,76.91,overcast clouds,38.2414,16.2623,Grand Hotel President
550,Lianzhou,CN,74.3,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
553,Salalah,OM,73.47,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
554,Dingle,PH,83.62,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
555,Bowen,AU,86.22,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
556,Ambilobe,MG,70.86,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
557,Richards Bay,ZA,68.61,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
558,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
